,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1636,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,1860,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,2,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,526,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,64,0,16,0,594,0,0,0,0,0,52,0,0,0,0,0,0,0
ṇ,156,0,24,2,601,303,0,0,62,42,126,77,4,32,0,0,0,0
ṟ,156,0,41,0,0,0,620,0,0,0,142,0,0,0,0,0,0,0
ṉ,232,0,82,3,0,0,1068,830,162,131,270,244,24,158,0,0,0,0
t,0,0,0,0,0,0,0,0,2032,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,2755,46,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0
m,242,0,114,2,0,0,0,0,155,164,1175,332,14,126,0,0,0,0
y,84,0,24,1,0,0,0,0,246,92,84,56,84,63,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0
r,355,2,87,7,0,0,0,0,235,351,365,174,10,200,0,0,0,0
l,314,0,86,2,0,0,0,0,112,118,158,150,35,298,0,722,0,0
ḷ,65,0,14,0,0,0,0,0,38,50,70,44,6,92,0,0,341,0
ḻ,58,0,14,0,0,0,0,0,67,142,48,23,0,26,0,0,0,0
