,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,6672,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
ṅ,6052,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,2,0,1365,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
ñ,1,0,1899,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,268,0,84,0,2446,0,0,0,6,0,219,0,0,0,0,0,0,0
ṇ,614,0,86,6,2687,1308,0,1,292,117,538,402,18,110,0,0,0,0
ṟ,742,0,125,0,0,0,2969,0,9,2,514,1,0,1,1,0,0,0
ṉ,1108,0,436,14,0,3,4482,2930,802,618,1444,1116,128,625,1,0,0,0
t,1,0,2,0,0,0,0,0,7666,1,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,1,0,9463,152,0,0,0,0,0,0,0,0
p,0,0,1,0,0,0,0,0,0,0,5740,0,0,0,0,0,0,0
m,1169,0,488,10,0,0,0,0,782,664,4224,1376,86,651,0,1,0,2
y,366,0,100,2,0,0,0,0,1054,382,286,228,418,251,2,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,2,412,0,0,0,0
r,1705,5,406,30,0,0,0,0,1030,1508,1782,756,57,784,0,0,0,0
l,1204,0,334,14,0,0,0,0,554,526,730,600,126,1184,0,3006,0,0
ḷ,262,0,80,6,0,0,0,0,172,212,275,200,33,447,0,3,1324,0
ḻ,246,0,68,2,0,0,0,0,299,490,219,86,3,116,0,0,0,0
