,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,94,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,4,0,108,0,0,0,1,0,8,0,0,0,0,0,0,0
ṇ,79,0,6,0,184,66,0,0,14,4,47,28,3,6,0,0,0,0
ṟ,67,0,5,0,0,0,97,0,0,2,20,0,0,0,1,0,0,0
ṉ,84,0,19,0,0,0,326,246,48,40,128,75,8,49,0,0,0,0
t,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,600,7,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0
m,72,0,18,0,0,0,0,0,57,48,229,142,9,40,0,0,0,1
y,42,0,4,0,0,0,0,0,82,24,18,14,40,16,2,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
r,69,1,28,6,0,0,0,0,57,96,90,35,2,30,0,0,0,0
l,84,0,20,1,0,0,0,0,35,34,46,38,6,69,0,184,0,0
ḷ,22,0,5,1,0,0,0,0,15,18,20,10,2,26,0,2,102,0
ḻ,11,0,3,0,0,0,0,0,13,36,13,4,0,3,0,0,0,0
