,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,4,0,377,0,0,0,0,0,26,0,0,0,0,0,0,0
ṇ,84,0,16,0,526,149,0,0,36,22,90,38,2,11,0,0,0,0
ṟ,70,0,6,0,0,0,597,0,0,0,46,0,0,0,0,0,0,0
ṉ,160,0,71,2,0,0,704,377,142,124,244,180,30,78,0,0,0,0
t,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1278,18,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0
m,252,0,90,2,0,0,0,0,148,113,473,205,15,96,0,0,0,0
y,88,0,34,0,0,0,0,0,196,102,54,32,92,50,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,0
r,260,0,63,6,0,0,0,0,169,258,270,100,6,99,0,0,0,0
l,195,0,58,4,0,0,0,0,90,113,119,92,17,171,0,555,0,0
ḷ,41,0,17,2,0,0,0,0,38,52,58,45,7,92,0,0,147,0
ḻ,38,0,10,2,0,0,0,0,48,74,53,12,0,25,0,0,0,0
