,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,24,0,5,0,178,0,0,0,0,0,25,0,0,0,0,0,0,0
ṇ,37,0,4,0,182,134,0,0,14,2,37,36,1,6,0,0,0,0
ṟ,104,0,28,0,0,0,368,0,0,0,74,0,0,0,0,0,0,0
ṉ,102,0,24,2,0,0,420,285,48,28,86,100,14,34,0,0,0,0
t,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,706,12,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0
m,42,0,16,0,0,0,0,0,46,35,340,104,10,39,0,0,0,0
y,32,0,6,0,0,0,0,0,104,22,17,11,22,26,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
r,159,0,27,2,0,0,0,0,62,115,140,74,8,50,0,0,0,0
l,58,0,10,0,0,0,0,0,69,26,34,24,8,89,0,300,0,0
ḷ,12,0,5,0,0,0,0,0,10,12,13,11,3,28,0,0,124,0
ḻ,18,0,3,0,0,0,0,0,27,37,14,6,0,4,0,0,0,0
