,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,896,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,54,0,14,0,330,0,0,0,4,0,47,0,0,0,0,0,0,0
ṇ,95,0,14,0,314,166,0,0,36,20,68,50,3,16,0,0,0,0
ṟ,131,0,22,0,0,0,364,0,5,0,80,0,0,0,0,0,0,0
ṉ,160,0,70,0,0,0,656,395,109,84,210,131,24,83,0,0,0,0
t,0,0,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1286,15,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0
m,204,0,82,0,0,0,0,0,130,116,589,220,12,96,0,1,0,0
y,41,0,18,1,0,0,0,0,204,44,42,32,56,34,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
r,199,0,66,4,0,0,0,0,138,224,222,116,7,130,0,0,0,0
l,206,0,50,2,0,0,0,0,74,99,115,118,15,165,0,464,0,0
ḷ,47,0,22,0,0,0,0,0,22,30,38,30,6,68,0,0,160,0
ḻ,26,0,8,0,0,0,0,0,28,71,21,8,1,14,0,0,0,0
