,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,411,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ṅ,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,3,0,156,0,0,0,0,0,10,0,0,0,0,0,0,0
ṇ,33,0,4,1,150,155,0,0,13,6,48,28,2,10,0,0,0,0
ṟ,23,0,8,0,0,0,153,0,0,0,22,0,0,0,0,0,0,0
ṉ,60,0,22,0,0,0,188,114,40,39,102,44,2,40,0,0,0,0
t,0,0,0,0,0,0,0,0,502,1,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,624,8,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0
m,86,0,46,1,0,0,0,0,68,28,331,64,2,55,0,0,0,0
y,11,0,2,0,0,0,0,0,46,9,14,26,12,12,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
r,109,0,23,1,0,0,0,0,66,127,127,48,4,70,0,0,0,0
l,78,0,30,0,0,0,0,0,31,28,74,54,14,83,0,89,0,0
ḷ,22,0,2,2,0,0,0,0,6,13,14,10,2,26,0,0,62,0
ḻ,26,0,6,0,0,0,0,0,20,30,16,8,0,4,0,0,0,0
