,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,7,0,128,0,0,0,1,0,8,0,0,0,0,0,0,0
ṇ,26,0,7,0,168,80,0,0,15,6,30,26,0,5,0,0,0,0
ṟ,44,0,1,0,0,0,226,0,3,0,35,0,0,0,0,0,0,0
ṉ,64,0,26,2,0,1,302,119,42,35,78,72,4,29,0,0,0,0
t,0,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,544,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0
m,97,0,38,3,0,0,0,0,63,52,254,87,6,62,0,0,0,0
y,22,0,6,0,0,0,0,0,46,24,18,21,34,24,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
r,114,0,38,2,0,0,0,0,86,116,147,66,4,69,0,0,0,0
l,62,0,19,2,0,0,0,0,32,25,54,46,4,86,0,138,0,0
ḷ,18,0,6,0,0,0,0,0,14,14,16,18,0,46,0,0,61,0
ḻ,11,0,8,0,0,0,0,0,39,18,27,8,0,16,0,0,0,0
