,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1458,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,1033,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,334,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,54,0,32,0,574,0,0,0,0,0,41,0,0,0,0,0,0,0
ṇ,104,0,12,1,562,254,0,0,104,14,92,120,4,24,0,0,0,0
ṟ,146,0,14,0,0,0,543,0,0,0,96,0,0,0,0,0,0,0
ṉ,247,0,122,4,0,1,819,565,211,137,325,268,22,155,0,0,0,0
t,0,0,1,0,0,0,0,0,1378,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1669,35,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0
m,174,0,85,2,0,0,0,0,116,109,832,222,18,138,0,0,0,0
y,48,0,6,0,0,0,0,0,131,66,38,36,80,24,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
r,440,2,73,2,0,0,0,0,216,220,420,144,17,138,0,0,0,0
l,208,0,62,2,0,0,0,0,110,83,129,78,28,223,0,553,0,0
ḷ,34,0,8,0,0,0,0,0,30,22,48,32,6,70,0,1,328,0
ḻ,58,0,17,0,0,0,0,0,57,82,28,18,1,24,0,0,0,0
