,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ñ,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,4,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,4,0,2,0,26,26,0,0,2,2,4,2,0,4,0,0,0,0
ṟ,8,0,4,0,0,0,27,0,0,0,6,1,0,0,0,0,0,0
ṉ,17,0,8,0,0,0,40,35,4,4,10,15,0,7,0,0,0,0
t,0,0,1,0,0,0,0,0,72,0,0,2,0,1,0,0,0,0
n,0,0,0,0,0,0,0,0,132,2,0,0,0,0,0,0,0,0
p,1,0,0,0,0,0,0,0,1,1,60,1,0,0,0,0,0,0
m,24,0,11,0,0,0,0,0,12,9,77,20,0,21,0,0,0,0
y,2,0,3,0,0,0,0,0,6,7,4,6,6,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,18,0,6,1,0,0,0,0,12,20,14,8,0,8,1,0,0,0
l,11,0,7,0,0,0,1,1,2,3,16,4,2,15,0,30,0,0
ḷ,2,0,1,0,0,0,0,0,2,4,3,1,0,4,0,0,15,0
ḻ,6,0,2,0,0,0,0,0,5,6,6,0,0,4,0,0,0,0
