,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,4,0,32,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,4,0,2,0,14,11,0,0,2,1,7,7,1,2,0,0,0,0
ṟ,15,0,2,0,0,0,34,0,0,0,6,0,0,0,0,0,0,0
ṉ,20,0,8,0,0,0,39,46,6,4,13,22,1,11,0,0,0,0
t,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,118,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
m,18,0,9,0,0,0,0,0,11,8,56,17,0,15,0,0,0,0
y,4,0,1,0,0,0,0,0,12,8,1,2,0,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,34,0,4,1,0,0,0,0,12,24,23,12,0,6,2,0,0,0
l,28,0,6,0,0,0,0,0,6,6,6,12,0,27,0,21,0,0
ḷ,4,0,2,0,2,1,0,0,0,2,3,6,0,4,0,0,19,0
ḻ,4,0,2,0,0,0,0,0,6,16,3,0,0,2,0,0,0,0
