,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,5,0,7,0,34,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,10,0,4,2,46,10,0,0,4,1,11,8,0,5,0,0,0,0
ṟ,10,0,2,0,0,0,42,0,0,0,12,0,0,0,0,0,0,0
ṉ,18,0,8,0,0,0,66,42,4,4,22,20,0,11,0,0,0,0
t,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,136,3,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
m,12,0,10,0,0,0,0,0,8,5,69,14,1,8,0,0,0,0
y,0,0,2,0,0,0,0,0,13,2,2,6,4,12,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,26,0,10,0,0,0,0,0,21,21,30,16,2,20,2,0,0,0
l,34,0,5,0,0,0,0,0,6,6,15,11,2,37,0,10,0,0
ḷ,16,0,2,0,0,0,0,0,3,2,9,2,0,5,0,0,14,0
ḻ,2,0,1,1,0,0,0,0,10,17,4,2,0,4,0,0,0,0
