,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,2,0,1,0,18,12,0,0,0,0,2,6,0,1,0,0,0,0
ṟ,6,0,4,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0
ṉ,10,0,2,0,0,0,18,19,0,0,4,12,1,4,0,0,0,0
t,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,28,9,0,2,0,0,0,0
y,3,0,1,0,0,0,0,0,4,0,2,2,2,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
r,6,0,1,0,0,0,0,0,4,8,16,4,0,4,0,0,0,0
l,6,0,0,0,0,0,0,0,0,0,3,0,2,5,0,14,0,0
ḷ,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,13,0
ḻ,2,0,1,0,0,0,0,0,2,4,1,1,0,2,0,0,0,0
