,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,0,0,45,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,8,0,0,0,30,21,0,0,2,0,6,5,0,1,0,0,0,0
ṟ,11,0,2,0,0,0,26,0,0,0,8,0,0,0,0,0,0,0
ṉ,12,0,4,0,0,0,47,16,8,2,18,18,2,10,0,0,0,0
t,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
m,16,0,2,0,0,0,0,0,10,5,66,18,0,8,0,0,0,0
y,10,0,2,0,0,0,0,0,10,1,4,6,8,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,20,0,10,1,0,0,0,0,20,16,20,14,0,10,0,0,0,0
l,19,0,6,0,0,0,1,0,6,2,16,8,2,17,0,15,0,0
ḷ,6,0,0,0,0,0,0,0,2,1,2,4,0,4,0,0,9,0
ḻ,10,0,2,0,0,0,0,0,2,6,3,4,0,1,0,0,0,0
