,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ñ,0,0,238,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,26,0,382,0,0,0,0,0,39,0,0,0,0,0,0,0
ṇ,67,0,22,4,409,196,0,0,20,14,72,74,4,32,0,0,0,0
ṟ,112,0,38,0,0,0,433,0,0,0,108,1,0,0,0,0,0,0
ṉ,182,0,73,4,0,0,559,490,58,34,176,197,10,114,0,0,0,0
t,0,0,1,0,0,0,0,0,1190,0,0,2,0,2,0,0,0,0
n,0,0,0,0,0,0,0,0,1460,34,0,0,0,0,0,0,0,0
p,1,0,0,0,0,0,0,0,1,1,898,1,0,0,0,0,0,0
m,186,0,72,2,0,0,0,0,106,56,846,194,2,142,0,0,0,0
y,64,0,18,0,0,0,0,0,122,56,50,49,68,42,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
r,262,1,75,8,0,0,0,0,198,290,300,136,6,144,21,0,0,0
l,212,0,65,0,0,0,6,6,48,44,146,80,24,236,0,277,0,0
ḷ,62,0,18,0,4,3,0,0,25,18,45,38,0,57,0,0,170,0
ḻ,60,0,26,1,0,0,0,0,56,110,43,24,0,28,0,0,0,4
