,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,4,0,60,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,7,0,2,0,44,15,0,0,2,0,8,3,0,2,0,0,0,0
ṟ,17,0,9,0,0,0,48,0,0,0,13,0,0,0,0,0,0,0
ṉ,17,0,12,0,0,0,57,60,7,1,20,22,1,14,0,0,0,0
t,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,151,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
m,10,0,2,0,0,0,0,0,6,4,120,6,0,10,0,0,0,0
y,14,0,4,0,0,0,0,0,11,12,8,4,4,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
r,27,0,2,1,0,0,0,0,20,32,28,14,0,18,1,0,0,0
l,20,0,8,0,0,0,0,0,4,6,15,12,3,26,0,34,0,0
ḷ,4,0,2,0,0,0,0,0,2,0,2,4,0,11,0,0,26,0
ḻ,8,0,4,0,0,0,0,0,6,5,6,3,0,4,0,0,0,0
