,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,2,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0
ṇ,5,0,1,0,27,18,0,0,0,1,4,8,0,2,0,0,0,0
ṟ,5,0,5,0,0,0,36,0,0,0,12,0,0,0,0,0,0,0
ṉ,14,0,6,0,0,0,40,41,5,5,18,15,1,14,0,0,0,0
t,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,88,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
m,15,0,4,0,0,0,0,0,6,3,46,10,0,7,0,0,0,0
y,0,0,0,0,0,0,0,0,14,4,4,4,14,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
r,12,0,3,0,0,0,0,0,11,14,22,5,0,8,2,0,0,0
l,22,0,4,0,0,0,0,1,4,1,14,5,0,26,0,34,0,0
ḷ,6,0,1,0,0,0,0,0,4,1,0,10,0,9,0,0,5,0
ḻ,4,0,2,0,0,0,0,0,4,4,3,3,0,1,0,0,0,1
