,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,9,0,1,0,80,0,0,0,0,0,16,0,0,0,0,0,0,0
ṇ,12,0,6,1,106,32,0,0,4,4,14,20,0,5,0,0,0,0
ṟ,14,0,4,0,0,0,120,0,0,0,14,0,0,0,0,0,0,0
ṉ,34,0,15,2,0,0,148,110,12,9,38,38,0,19,0,0,0,0
t,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,366,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
m,51,0,20,0,0,0,0,0,28,10,177,52,0,41,0,0,0,0
y,14,0,3,0,0,0,0,0,26,9,16,12,14,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
r,70,0,18,3,0,0,0,0,56,92,88,29,2,34,8,0,0,0
l,37,0,14,0,0,0,2,2,11,12,26,16,4,50,0,50,0,0
ḷ,13,0,8,0,0,0,0,0,6,1,16,5,0,8,0,0,32,0
ḻ,11,0,8,0,0,0,0,0,15,40,9,8,0,4,0,0,0,0
