,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,8,0,4,0,54,0,0,0,0,0,7,0,0,0,0,0,0,0
ṇ,12,0,4,0,80,46,0,0,3,4,13,14,0,8,0,0,0,0
ṟ,25,0,4,0,0,0,72,0,0,0,24,0,0,0,0,0,0,0
ṉ,34,0,10,2,0,0,90,114,12,6,27,32,2,21,0,0,0,0
t,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,267,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0
m,34,0,10,2,0,0,0,0,22,10,185,44,0,23,0,0,0,0
y,16,0,2,0,0,0,0,0,17,12,6,5,8,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
r,47,1,18,2,0,0,0,0,34,52,46,30,2,28,4,0,0,0
l,30,0,14,0,0,0,2,0,7,6,28,10,8,26,0,62,0,0
ḷ,7,0,2,0,1,1,0,0,6,6,7,6,0,8,0,0,30,0
ḻ,11,0,2,0,0,0,0,0,4,10,8,2,0,7,0,0,0,1
