,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,4,0,0,1,20,6,0,0,0,1,4,2,2,1,0,0,0,0
ṟ,2,0,1,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0
ṉ,6,0,0,0,0,0,13,7,0,1,6,2,1,2,0,0,0,0
t,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
m,6,0,3,0,0,0,0,0,4,1,20,5,0,6,0,0,0,0
y,2,0,0,0,0,0,0,0,9,1,3,2,6,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,3,0,4,0,0,0,0,0,8,10,14,2,0,9,0,0,0,0
l,3,0,1,0,0,0,0,1,3,2,7,2,0,8,0,8,0,0
ḷ,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,8,0
ḻ,4,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
