,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,1604,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,1,0,460,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ṭ,42,0,12,0,445,0,0,0,0,0,43,0,0,0,0,0,0,0
ṇ,172,0,25,3,460,234,0,0,89,46,147,75,0,22,0,0,0,0
ṟ,88,0,15,0,0,0,486,0,0,0,73,0,0,0,0,0,0,0
ṉ,123,0,44,2,0,0,854,727,105,41,161,162,7,47,0,0,0,0
t,0,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,2164,56,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0
m,87,0,27,0,0,0,0,0,50,28,913,221,0,31,0,0,0,0
y,86,0,30,0,0,0,0,0,176,72,100,50,62,43,1,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0
r,271,4,87,2,0,0,0,0,209,243,306,112,3,107,0,0,0,0
l,220,0,47,1,0,0,0,0,45,80,99,69,9,215,0,602,0,0
ḷ,45,0,6,0,0,0,0,0,13,16,34,22,0,79,0,0,280,0
ḻ,59,0,10,0,0,0,0,0,54,108,41,7,0,15,0,0,0,0
