,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ṅ,330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,26,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ñ,0,0,118,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,4,0,86,0,0,0,2,1,8,1,1,0,0,0,0,0
ṇ,78,1,4,0,161,73,1,0,25,5,55,31,0,2,1,1,0,0
ṟ,52,1,3,0,0,0,85,0,0,3,18,0,0,0,2,0,0,0
ṉ,55,0,8,0,0,0,309,272,6,11,95,50,2,25,1,0,0,0
t,0,0,0,0,0,0,0,0,297,0,0,0,0,0,1,0,0,0
n,0,0,0,0,0,0,0,1,566,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,1,0,0
m,10,0,9,0,0,0,0,0,7,9,183,131,1,18,1,0,0,2
y,42,1,3,0,0,1,0,1,81,28,25,16,41,10,3,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1
r,66,2,23,0,0,0,0,0,53,93,88,18,1,19,0,0,0,0
l,50,0,6,1,0,0,0,0,17,16,13,10,2,55,1,190,0,0
ḷ,12,0,4,0,0,0,0,0,14,7,4,2,0,33,0,3,107,0
ḻ,9,0,1,0,0,0,0,0,10,32,8,3,0,2,0,0,0,0
