,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,312,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,2,0,144,0,0,0,0,0,22,0,0,0,0,0,0,0
ṇ,41,0,5,0,171,139,0,0,14,0,37,34,0,7,0,0,0,0
ṟ,32,0,2,0,0,0,538,0,0,0,25,0,0,0,0,0,0,0
ṉ,44,0,12,0,0,1,372,312,11,0,57,68,4,11,0,0,0,0
t,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,568,15,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,1,0,292,91,0,5,0,0,0,0
y,31,0,8,0,0,0,0,0,139,22,24,8,22,20,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
r,114,0,23,2,0,0,0,0,55,70,106,19,3,27,0,0,0,0
l,45,0,5,0,0,0,0,0,6,2,24,3,0,61,0,342,0,0
ḷ,8,0,2,0,0,0,0,0,3,1,6,3,1,23,0,0,131,0
ḻ,15,0,2,0,0,0,0,0,28,37,7,2,0,2,0,0,0,0
