,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,798,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,349,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,63,0,12,0,376,0,0,0,0,0,55,0,0,0,0,0,0,0
ṇ,49,0,0,0,336,175,0,0,14,0,27,26,0,2,0,0,0,0
ṟ,144,0,14,0,0,0,456,0,0,0,63,0,0,0,0,0,0,0
ṉ,50,0,6,0,0,0,704,419,19,1,104,60,1,2,0,0,0,0
t,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1325,9,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0
m,20,0,0,0,0,0,0,0,7,1,337,127,0,8,0,0,0,0
y,34,0,23,0,0,0,0,0,227,25,40,15,55,16,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
r,142,1,40,0,0,0,0,0,112,164,176,22,0,33,0,0,0,0
l,95,0,7,0,0,0,0,0,4,1,14,10,2,62,0,608,0,0
ḷ,23,0,0,0,0,0,0,0,1,1,8,6,0,47,0,0,173,0
ḻ,16,0,2,0,0,0,0,0,22,63,8,0,0,1,0,0,0,0
