,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,4805,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0
ṅ,5797,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c,0,0,563,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ñ,2,0,2045,53,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ṭ,243,0,79,0,2480,0,0,0,3,1,223,1,1,0,0,0,0,0
ṇ,526,1,45,7,2555,1356,1,1,199,66,508,360,1,56,1,1,0,0
ṟ,568,1,52,0,0,0,3122,0,0,3,335,0,0,0,2,0,0,0
ṉ,469,1,102,4,0,5,4262,2974,227,112,781,624,20,141,2,0,0,0
t,0,0,0,0,0,0,0,1,6221,0,0,0,0,0,1,0,0,0
n,0,0,0,1,0,0,2,1,8732,158,0,0,0,0,0,0,0,0
p,0,0,1,0,0,0,1,0,0,0,3859,0,0,0,0,1,0,0
m,214,0,80,0,0,0,0,1,118,58,2994,850,3,82,1,0,0,3
y,324,1,96,0,0,1,0,1,1022,269,283,173,397,176,5,0,0,0
v,1,0,0,0,0,0,0,0,1,0,0,0,0,406,0,0,0,1
r,1276,10,283,6,0,1,0,0,775,1109,1287,251,9,331,0,0,0,0
l,698,0,119,3,0,0,0,0,115,151,282,150,30,735,1,3169,0,0
ḷ,135,0,13,0,0,0,1,0,48,54,87,69,2,355,1,4,1352,0
ḻ,220,0,44,0,0,0,0,0,284,418,157,29,0,66,0,1,0,0
