,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,199,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,4,0,377,0,0,0,0,0,26,0,0,0,0,0,0,0
ṇ,25,0,0,0,526,151,0,0,6,0,45,31,0,1,0,0,0,0
ṟ,71,0,2,0,0,0,597,0,0,0,47,0,0,0,0,0,0,0
ṉ,23,0,1,0,0,0,705,380,6,1,94,59,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0
n,0,0,0,1,0,0,0,0,1275,16,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0
m,36,0,0,0,0,0,0,0,2,0,234,99,0,1,0,0,0,0
y,60,0,15,0,0,0,0,0,172,48,32,12,85,33,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
r,171,0,26,1,0,0,0,0,99,198,199,12,0,27,0,0,0,0
l,78,0,2,0,0,0,0,0,2,2,6,3,0,73,0,558,0,0
ḷ,6,0,0,0,0,0,0,0,2,0,11,4,0,51,0,0,146,0
ḻ,20,0,0,0,0,0,0,0,39,59,39,1,0,14,0,0,0,0
