,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,4,0,204,0,0,0,0,0,9,0,0,0,0,0,0,0
ṇ,41,0,3,2,152,240,0,0,18,7,79,29,0,8,0,0,0,0
ṟ,26,0,13,0,0,0,168,0,0,0,19,0,0,0,0,0,0,0
ṉ,45,0,10,0,0,1,199,119,28,12,66,21,1,16,1,0,0,0
t,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,643,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0
m,45,0,37,0,0,0,0,0,40,10,277,35,0,6,0,0,0,1
y,10,0,3,0,0,0,0,0,55,8,16,28,16,11,0,0,0,0
v,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0
r,88,0,17,0,0,1,0,0,60,115,101,25,1,31,0,0,0,0
l,67,0,22,0,0,0,0,0,11,25,63,32,5,67,0,97,0,0
ḷ,17,0,1,0,0,0,0,0,4,12,4,9,0,30,0,0,66,0
ḻ,28,0,6,0,0,0,0,0,23,27,12,2,0,5,0,0,0,0
