,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,10,0,8,0,134,0,0,0,1,0,10,0,0,0,0,0,0,0
ṇ,13,0,0,0,159,66,0,1,0,0,11,24,0,0,0,0,0,0
ṟ,40,0,0,0,0,0,218,0,0,0,32,0,0,0,0,0,0,0
ṉ,18,0,0,0,0,2,306,119,3,0,43,40,0,2,0,0,0,0
t,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,1,0,513,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,1,0,137,18,0,0,0,0,0,0
y,13,0,6,0,0,0,0,0,40,12,13,12,28,16,1,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
r,67,0,15,1,0,0,0,0,55,74,103,6,0,26,0,0,0,0
l,17,0,0,0,0,0,0,0,2,0,10,4,0,45,0,128,0,0
ḷ,3,0,0,0,0,0,0,0,1,0,5,3,0,32,1,1,62,0
ḻ,3,0,3,0,0,0,0,0,43,13,16,1,0,8,0,1,0,0
