,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1118,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ṅ,1102,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,1,0,446,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ṭ,56,0,33,0,714,0,0,0,0,0,50,0,0,0,0,0,0,0
ṇ,107,0,8,2,590,278,0,0,33,8,107,110,1,14,0,0,0,0
ṟ,115,0,3,0,0,0,574,0,0,0,57,0,0,0,0,0,0,0
ṉ,111,1,21,2,0,1,813,626,49,46,161,164,5,38,0,0,0,0
t,0,0,0,0,0,0,0,1,1206,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,1,0,1678,46,0,0,0,0,0,0,0,0
p,0,0,1,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0
m,16,0,7,0,0,0,0,1,10,10,621,128,2,13,0,0,0,0
y,48,0,8,0,0,0,0,0,132,54,33,32,88,27,0,0,0,0
v,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
r,357,3,52,0,0,0,0,0,132,152,208,37,1,61,0,0,0,0
l,126,0,30,1,0,0,0,0,28,25,53,19,12,157,0,644,0,0
ḷ,21,0,0,0,0,0,1,0,10,17,15,20,1,60,0,0,387,0
ḻ,70,0,20,0,0,0,0,0,65,79,26,13,0,19,0,0,0,0
