,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,6,0,4,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,2,0,1,0,33,37,0,0,1,0,6,2,0,1,0,0,0,0
ṟ,6,0,1,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0
ṉ,10,0,0,0,0,0,50,47,0,0,5,12,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,156,3,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,59,8,0,0,0,0,0,0
y,1,0,2,0,0,0,0,0,8,6,3,7,6,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,16,0,4,0,0,0,0,0,9,19,10,0,0,4,0,0,0,0
l,3,0,2,0,0,0,0,0,0,0,10,0,0,10,0,34,0,0
ḷ,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,21,0
ḻ,1,0,1,0,0,0,0,0,6,6,3,0,0,2,0,0,0,0
