,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,3,0,3,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,3,0,0,0,16,15,0,0,0,0,5,8,0,1,0,0,0,0
ṟ,7,0,0,0,0,0,41,0,0,0,2,0,0,0,0,0,0,0
ṉ,7,0,1,0,0,0,47,57,0,0,5,20,0,3,0,0,0,0
t,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,143,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,1,0,0,0,0,66,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0
y,4,0,1,0,0,0,0,0,16,5,1,1,0,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
r,33,0,2,0,0,0,0,0,12,21,15,2,0,4,0,0,0,0
l,22,0,1,0,0,0,0,0,0,0,0,1,0,16,0,30,0,0
ḷ,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,23,0
ḻ,5,0,1,0,0,0,0,0,6,16,1,0,0,3,0,0,0,0
