,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,0,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,7,0,1,0,39,28,0,0,2,0,8,7,0,1,0,0,0,0
ṟ,9,0,1,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0
ṉ,4,0,2,0,0,0,59,18,0,0,9,9,1,3,0,0,0,0
t,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,133,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0
y,11,0,2,0,0,0,0,0,11,0,4,7,11,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,12,0,4,0,0,0,0,0,19,16,15,5,0,3,0,0,0,0
l,13,0,1,0,0,0,0,0,1,0,6,0,0,13,0,24,0,0
ḷ,3,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,11,0
ḻ,12,0,1,0,0,0,0,0,3,7,3,3,0,0,0,0,0,0
