,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,9,0,4,0,65,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,11,0,2,0,97,63,0,0,1,0,11,10,0,2,0,0,0,0
ṟ,17,0,1,0,0,0,83,0,0,0,21,0,0,0,0,0,0,0
ṉ,10,0,2,0,0,0,111,137,0,0,13,15,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,318,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,0,0,167,23,0,1,0,0,0,0
y,10,0,1,0,0,0,0,0,20,14,5,2,11,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
r,25,2,7,0,0,0,0,0,28,60,39,8,0,12,0,0,0,0
l,14,0,8,0,0,0,0,0,0,0,12,1,5,13,0,79,0,0
ḷ,2,0,0,0,0,0,0,0,1,0,2,2,0,4,0,0,43,0
ḻ,4,0,2,0,0,0,0,0,2,12,7,2,0,3,0,0,0,0
