,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,5,0,8,0,41,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,8,0,2,1,58,12,0,0,0,0,13,5,0,6,0,0,0,0
ṟ,7,0,0,0,0,0,48,0,0,0,14,0,0,0,0,0,0,0
ṉ,8,0,2,0,0,0,80,52,0,0,17,7,0,2,0,0,0,0
t,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,164,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,0,0,71,6,0,2,0,0,0,0
y,0,0,2,0,0,0,0,0,16,2,2,7,6,12,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,20,0,3,0,0,0,0,0,23,19,30,5,0,7,0,0,0,0
l,20,0,2,0,0,0,0,0,0,2,11,0,0,32,0,12,0,0
ḷ,13,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,18,0
ḻ,1,0,0,0,0,0,0,0,6,16,4,0,0,2,0,0,0,0
