,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,2,0,1,0,15,15,0,0,0,0,1,4,0,1,0,0,0,0
ṟ,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0
ṉ,9,0,0,0,0,0,15,21,0,0,6,6,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0
y,4,0,0,0,0,0,0,0,4,0,2,1,2,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
r,3,0,1,0,0,0,0,0,1,9,11,3,0,3,0,0,0,0
l,6,0,0,0,0,0,0,0,0,0,2,0,0,5,0,17,0,0
ḷ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0
ḻ,1,0,2,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0
