,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,1264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,279,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,41,0,25,0,447,0,0,0,0,0,37,0,0,0,0,0,0,0
ṇ,63,0,12,2,498,264,0,0,5,1,78,69,0,18,0,0,0,0
ṟ,64,0,10,0,0,0,489,0,0,0,73,0,0,0,0,0,0,0
ṉ,86,0,18,2,0,0,669,600,3,1,101,114,3,15,0,0,0,0
t,0,0,0,0,0,0,0,0,1241,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1708,45,0,0,0,0,0,0,0,0
p,0,0,0,0,0,1,0,0,0,0,876,0,0,0,0,0,0,0
m,4,0,1,0,0,0,0,0,3,1,769,91,0,13,0,0,0,0
y,61,0,17,0,0,0,0,0,146,53,50,38,86,34,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
r,185,2,36,1,0,0,0,0,169,284,239,37,2,56,0,0,0,0
l,120,0,28,0,0,0,0,0,3,4,58,3,8,165,0,362,0,0
ḷ,37,0,3,0,0,0,0,0,3,2,16,4,0,37,0,0,219,0
ḻ,46,0,24,0,0,0,0,0,52,116,32,13,0,17,0,0,0,0
