,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,3,0,4,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,7,0,0,0,47,18,0,0,0,0,11,2,0,1,0,0,0,0
ṟ,5,0,1,0,0,0,45,0,0,0,4,0,0,0,0,0,0,0
ṉ,8,0,2,0,0,0,59,71,2,0,8,13,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,137,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,114,1,0,1,0,0,0,0
y,16,0,6,0,0,0,0,0,13,13,10,2,4,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
r,19,0,4,1,0,0,0,0,19,30,25,6,0,8,0,0,0,0
l,12,0,5,0,0,0,0,0,1,0,3,0,0,17,0,47,0,0
ḷ,3,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,29,0
ḻ,9,0,6,0,0,0,0,0,8,3,2,2,0,3,0,0,0,0
