,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,2,0,35,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,6,0,0,0,35,25,0,0,0,0,5,8,0,1,0,0,0,0
ṟ,5,0,1,0,0,0,45,0,0,0,9,0,0,0,0,0,0,0
ṉ,6,0,1,0,0,0,49,50,0,1,8,10,0,3,0,0,0,0
t,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,107,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,39,5,0,1,0,0,0,0
y,0,0,0,0,0,0,0,0,14,4,5,2,17,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
r,10,0,1,0,0,0,0,0,9,11,13,0,0,4,0,0,0,0
l,17,0,0,0,0,0,0,0,1,1,4,0,0,12,0,39,0,0
ḷ,5,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,7,0
ḻ,3,0,1,0,0,0,0,0,2,4,2,1,0,1,0,0,0,0
