,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,0,0,96,0,0,0,0,0,18,0,0,0,0,0,0,0
ṇ,14,0,5,0,134,43,0,0,1,1,16,21,0,4,0,0,0,0
ṟ,7,0,5,0,0,0,139,0,0,0,11,0,0,0,0,0,0,0
ṉ,20,0,8,2,0,0,184,138,1,0,26,20,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,453,14,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0
m,0,0,1,0,0,0,0,0,2,1,166,32,0,8,0,0,0,0
y,14,0,3,0,0,0,0,0,32,8,16,8,20,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
r,45,0,7,0,0,0,0,0,43,91,66,7,2,10,0,0,0,0
l,12,0,9,0,0,0,0,0,0,0,10,1,3,41,0,69,0,0
ḷ,8,0,3,0,0,0,0,0,1,0,8,0,0,6,0,0,45,0
ḻ,7,0,8,0,0,0,0,0,15,47,9,4,0,3,0,0,0,0
