,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,3,0,0,1,24,8,0,0,0,0,2,2,0,0,0,0,0,0
ṟ,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0
ṉ,4,0,0,0,0,0,15,9,0,0,4,2,1,1,0,0,0,0
t,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,52,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
m,2,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0
y,1,0,0,0,0,0,0,0,12,1,2,1,9,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,2,0,3,0,0,0,0,0,6,8,15,1,0,1,0,0,0,0
l,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,11,0,0
ḷ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
ḻ,3,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
