,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1961,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
ṅ,1768,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c,5,0,506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ñ,1,0,523,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ṭ,76,0,23,0,465,0,0,0,1,0,67,0,0,0,0,0,0,0
ṇ,227,0,48,3,483,238,0,0,119,85,201,120,7,54,0,0,0,0
ṟ,222,0,59,0,0,0,507,0,0,0,226,0,0,0,0,0,0,0
ṉ,391,0,162,6,0,0,872,732,302,262,432,411,41,315,0,0,0,0
t,1,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,2347,62,0,0,0,0,0,0,0,0
p,1,0,1,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0
m,485,0,227,3,0,0,0,0,310,328,1444,421,29,251,0,0,0,0
y,118,0,48,2,0,0,0,0,205,105,136,78,72,101,1,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0
r,516,4,165,13,0,0,0,0,316,396,512,319,20,339,1,0,0,0
l,407,0,156,4,0,0,0,0,223,237,301,299,67,498,0,613,0,0
ḷ,108,0,29,1,0,0,0,0,76,101,117,88,13,148,0,0,281,0
ḻ,79,0,25,0,0,0,0,0,74,144,74,46,0,42,0,0,0,0
