,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,1096,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,481,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ñ,0,0,450,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,80,0,22,0,376,0,0,0,7,0,76,0,0,0,0,0,0,0
ṇ,140,0,27,1,336,175,0,0,65,39,109,77,6,27,0,0,0,0
ṟ,205,0,37,0,0,0,456,0,10,0,136,1,0,0,0,0,0,0
ṉ,294,0,139,1,0,0,704,419,217,167,357,223,41,166,0,0,0,0
t,0,0,0,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1445,23,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0
m,407,0,164,0,0,0,0,0,259,231,867,324,24,193,0,2,0,0
y,63,0,35,2,0,0,0,0,256,63,78,48,59,55,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
r,333,1,131,8,0,0,0,0,227,316,332,228,14,233,0,0,0,0
l,321,0,96,5,0,0,0,0,147,198,218,234,28,277,0,608,0,0
ḷ,82,0,44,0,0,0,0,0,43,59,70,61,12,123,0,0,173,0
ḻ,39,0,13,0,0,0,0,0,37,88,38,15,2,26,0,0,0,0
