,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,607,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
ṅ,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ñ,0,0,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,4,0,207,0,0,0,0,0,13,0,0,0,0,0,0,0
ṇ,49,0,9,2,160,242,0,0,26,13,87,38,3,20,0,0,0,0
ṟ,30,0,15,0,0,0,173,0,0,0,28,0,0,1,0,0,0,0
ṉ,112,0,43,1,0,1,201,121,80,78,183,83,5,78,1,0,0,0
t,0,0,0,0,0,0,0,0,640,2,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,689,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,587,1,0,0,0,0,0,0
m,171,0,93,2,0,0,0,0,137,56,524,104,5,110,0,0,0,1
y,16,0,4,0,0,0,0,0,55,11,22,36,16,18,0,0,0,0
v,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0
r,172,0,46,2,0,1,0,0,109,170,196,89,7,126,0,0,0,0
l,126,0,57,1,0,0,0,0,62,55,143,109,27,142,0,98,0,0
ḷ,34,0,4,3,0,0,0,0,11,26,28,20,3,45,0,0,67,0
ḻ,36,0,11,0,0,0,0,0,26,33,25,15,1,7,0,0,0,0
