,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,8839,0,5,0,1,0,0,0,8,0,4,1,0,0,1,1,0,0
ṅ,6730,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c,5,0,2300,0,0,0,0,0,3,1,3,0,0,1,0,0,0,0
ñ,2,0,2377,58,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ṭ,325,0,120,0,2585,0,0,0,12,1,298,1,1,0,0,0,0,0
ṇ,877,1,173,11,2662,1380,1,2,567,234,858,606,37,198,1,1,0,0
ṟ,1027,1,201,0,0,0,3234,0,18,3,810,2,0,2,2,0,0,0
ṉ,1992,1,866,27,1,6,4397,3016,1570,1235,2418,1952,236,1248,2,0,0,0
t,2,0,3,0,0,0,0,1,8944,2,0,0,0,0,1,0,0,0
n,1,0,0,1,0,0,2,1,9603,218,0,0,0,0,0,0,0,0
p,1,0,2,0,0,0,1,0,0,0,8160,1,0,0,0,1,0,0
m,2332,0,976,20,0,0,0,1,1565,1329,6036,2009,172,1298,1,2,0,4
y,535,1,197,4,0,1,0,1,1185,525,466,339,437,380,5,0,0,0
v,1,0,0,0,0,0,0,0,1,0,0,0,4,526,0,0,0,1
r,2649,10,763,60,0,1,0,0,1598,1990,2711,1456,114,1380,1,0,0,0
l,1809,0,633,28,0,0,0,0,1106,1051,1401,1199,247,1952,1,3218,0,0
ḷ,452,0,160,13,0,0,1,0,342,424,498,399,65,720,1,6,1376,0
ḻ,352,0,122,3,0,0,0,0,380,555,332,170,6,180,0,1,0,0
