,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ṅ,381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,129,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ñ,0,0,129,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,4,0,108,0,0,0,2,1,11,1,1,0,0,0,0,0
ṇ,100,1,11,1,188,74,1,0,26,8,77,43,6,10,1,1,0,0
ṟ,76,1,7,0,0,0,95,0,0,3,30,0,0,0,2,0,0,0
ṉ,151,0,38,1,1,0,324,274,95,80,212,141,13,98,1,0,0,0
t,0,0,1,0,0,0,0,0,450,0,0,0,0,0,1,0,0,0
n,0,0,0,0,0,0,0,1,649,10,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,1,0,0
m,144,0,35,0,0,0,0,0,114,96,336,198,18,80,1,0,0,2
y,54,1,8,0,0,1,0,1,89,38,28,23,41,28,3,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1
r,114,2,52,12,0,0,0,0,99,136,132,67,4,49,0,0,0,0
l,131,0,36,2,0,0,0,0,70,67,92,75,13,111,1,199,0,0
ḷ,39,0,10,2,0,0,0,0,30,36,38,20,5,49,0,3,109,0
ḻ,17,0,6,0,0,0,0,0,15,40,20,7,0,4,0,0,0,0
