,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,206,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,4,0,377,0,0,0,0,0,26,0,0,0,0,0,0,0
ṇ,107,0,32,1,526,151,0,0,69,43,129,55,4,21,0,0,0,0
ṟ,71,0,2,0,0,0,599,0,0,0,47,0,0,0,0,0,0,0
ṉ,302,0,141,5,0,0,705,380,281,249,398,331,58,157,0,0,0,0
t,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,0,0
n,0,0,0,1,0,0,0,0,1283,29,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0
m,505,0,179,5,0,0,0,0,295,226,717,314,30,190,0,0,0,0
y,132,0,66,0,0,0,0,0,226,156,86,55,96,69,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,4,76,0,0,0,0
r,387,0,110,13,0,0,0,0,264,321,374,198,13,171,0,0,0,0
l,311,0,115,7,0,0,0,0,181,225,232,184,34,272,0,558,0,0
ḷ,76,0,34,5,0,0,0,0,74,104,104,90,14,134,0,0,146,0
ḻ,59,0,19,3,0,0,0,0,58,89,73,24,0,36,0,0,0,0
