,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ṅ,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ñ,0,0,371,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,34,0,7,0,181,0,0,0,0,0,33,0,0,0,0,0,0,0
ṇ,57,0,7,1,191,146,0,0,27,5,57,56,2,12,0,0,0,0
ṟ,159,0,51,0,0,0,584,0,1,0,132,0,0,0,0,0,0,0
ṉ,183,0,48,3,0,1,436,331,95,55,134,176,26,67,0,0,0,0
t,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,797,18,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0
m,83,0,32,1,0,0,0,0,92,70,493,141,19,76,0,0,0,0
y,44,0,11,0,0,0,0,0,148,29,32,17,22,39,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
r,275,0,53,5,0,0,0,0,97,176,216,146,15,95,0,0,0,0
l,77,0,18,1,0,0,0,0,138,53,60,48,14,149,0,358,0,0
ḷ,23,0,10,1,0,0,0,0,20,25,25,22,6,46,0,0,141,0
ḻ,26,0,5,0,0,0,0,0,31,39,20,11,1,6,0,0,0,0
