,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,460,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,13,0,11,0,134,0,0,0,2,0,12,0,0,0,0,0,0,0
ṇ,35,0,14,0,159,66,0,1,30,12,47,40,1,10,0,0,0,0
ṟ,47,0,2,0,0,0,219,0,6,0,46,0,0,0,0,0,0,0
ṉ,110,0,52,3,0,2,306,119,79,70,126,111,8,58,0,0,0,0
t,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0
n,1,0,0,0,0,0,1,0,543,16,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0
m,193,0,76,6,0,0,0,0,126,104,367,154,12,124,0,0,0,0
y,34,0,12,0,0,0,0,0,54,38,23,28,29,30,1,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
r,181,0,68,3,0,0,0,0,124,158,205,128,7,115,0,0,0,0
l,105,0,37,4,0,0,0,0,65,50,101,93,8,133,0,128,0,0
ḷ,33,0,12,1,0,0,0,0,27,29,27,35,1,61,1,1,63,0
ḻ,19,0,14,0,0,0,0,0,62,23,33,15,0,20,0,1,0,0
