,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,2002,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
ṅ,1278,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ñ,1,0,515,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ṭ,62,0,45,0,737,0,0,0,0,0,60,0,0,0,0,0,0,0
ṇ,162,0,25,2,619,288,0,1,205,29,151,177,8,44,0,0,0,0
ṟ,217,0,28,0,0,0,601,0,1,0,164,1,0,1,0,0,0,0
ṉ,449,1,243,7,0,2,849,640,421,274,576,476,44,309,0,0,0,0
t,1,0,2,0,0,0,0,1,1712,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,1,0,1850,50,0,0,0,0,0,0,0,0
p,0,0,1,0,0,0,1,0,0,0,1929,0,0,0,0,0,0,0
m,344,0,170,3,0,0,0,1,232,218,1288,353,35,274,0,0,0,1
y,74,0,13,0,0,0,0,0,152,85,61,54,102,40,0,0,0,0
v,1,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
r,671,3,138,4,0,0,0,0,362,317,744,281,34,252,0,0,0,0
l,331,0,118,4,0,0,0,0,220,166,254,157,56,370,0,656,0,0
ḷ,57,0,17,0,0,0,1,0,61,44,89,63,11,114,0,2,396,0
ḻ,77,0,29,0,0,0,0,0,77,99,49,37,2,39,0,0,0,0
