,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,3,0,6,0,41,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,7,0,3,0,20,15,0,0,2,2,13,13,2,2,0,0,0,0
ṟ,27,0,4,0,0,0,46,0,0,0,11,0,0,0,0,0,0,0
ṉ,37,0,16,0,0,0,56,66,11,7,26,42,1,21,0,0,0,0
t,0,0,0,0,0,0,0,0,131,0,0,0,0,1,0,0,0,0
n,0,0,0,0,0,0,0,0,161,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,1,0,0,0,0,96,0,0,0,0,0,0,0
m,35,0,18,0,0,0,0,0,22,17,90,32,0,30,0,0,0,0
y,8,0,2,0,0,0,0,0,17,12,2,4,1,5,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
r,55,0,8,2,0,0,0,0,19,39,41,25,0,9,4,0,0,0
l,48,0,13,0,0,0,0,0,11,11,12,23,1,51,0,31,0,0
ḷ,7,0,3,0,3,2,0,0,0,3,6,11,0,7,0,0,29,0
ḻ,6,0,4,0,0,0,0,0,10,25,6,0,0,4,0,0,0,0
