,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,3,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,4,0,2,0,19,15,0,0,0,0,3,10,0,2,0,0,0,0
ṟ,11,0,9,0,0,0,21,0,0,0,16,0,0,0,0,0,0,0
ṉ,15,0,3,1,0,0,20,21,0,0,8,25,2,8,0,0,0,0
t,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,1,38,10,0,4,0,0,0,0
y,6,0,2,0,0,0,0,0,4,1,3,2,3,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
r,9,0,2,0,0,0,0,0,6,11,23,8,0,9,1,0,0,0
l,10,0,0,0,0,0,0,0,0,0,5,1,4,9,0,19,0,0
ḷ,2,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,14,0
ḻ,3,0,2,0,0,0,0,0,3,4,2,2,0,3,0,0,0,0
