,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,17,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ṭ,4,0,3,0,38,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,8,0,2,0,36,28,0,0,1,1,8,14,0,4,0,0,0,0
ṟ,9,0,10,0,0,0,49,0,0,0,21,0,0,0,0,0,0,0
ṉ,25,0,12,0,0,0,57,60,10,10,35,28,2,28,0,0,0,0
t,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,120,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
m,30,0,7,0,0,0,0,0,12,6,79,20,0,14,0,0,0,0
y,0,0,0,0,0,0,0,0,22,8,7,6,18,8,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
r,20,0,6,0,0,0,0,0,18,22,39,10,0,14,3,0,0,0
l,39,0,8,0,0,0,1,2,7,2,28,10,0,46,0,47,0,0
ḷ,11,0,2,0,0,1,0,0,6,2,0,19,0,16,0,0,8,0
ḻ,6,0,4,0,0,0,0,0,7,6,6,6,0,2,0,0,0,2
