,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,14,0,2,0,108,0,0,0,0,0,24,0,0,0,0,0,0,0
ṇ,23,0,11,2,145,45,0,0,9,7,26,36,0,9,0,0,0,0
ṟ,26,0,6,0,0,0,161,0,0,0,23,0,0,0,0,0,0,0
ṉ,66,0,30,4,0,0,206,160,25,18,71,73,0,38,0,0,0,0
t,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,509,15,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0
m,102,0,40,0,0,0,0,0,52,20,292,90,1,82,0,0,0,0
y,23,0,6,0,0,0,0,0,36,14,32,18,20,6,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
r,126,0,34,6,0,0,0,0,100,142,157,56,4,63,15,0,0,0
l,73,0,26,0,0,0,3,5,21,23,51,32,9,95,0,73,0,0
ḷ,22,0,16,0,0,0,0,0,10,2,28,9,0,16,0,0,48,0
ḻ,20,0,16,0,0,0,0,0,25,60,16,16,0,6,0,0,0,1
