,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,6,0,74,0,0,0,0,0,13,0,0,0,0,0,0,0
ṇ,21,0,7,0,108,67,0,0,6,8,22,23,0,17,0,0,0,0
ṟ,39,0,7,0,0,0,101,0,0,0,40,0,0,0,0,0,0,0
ṉ,67,0,21,3,0,0,125,162,23,11,51,59,3,42,0,0,0,0
t,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,370,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
m,66,0,21,3,0,0,0,0,42,20,303,79,0,46,0,0,0,0
y,30,0,3,0,0,0,0,0,26,16,12,10,12,7,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
r,85,2,37,3,0,0,0,0,56,78,81,58,3,51,9,0,0,0
l,54,0,25,0,0,0,3,0,14,13,53,21,15,52,0,89,0,0
ḷ,13,0,2,0,2,2,0,0,10,11,13,10,0,16,0,0,43,0
ḻ,22,0,2,0,0,0,0,0,6,14,14,5,0,13,0,0,0,2
