,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,1,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,6,0,0,2,26,9,0,0,0,2,6,3,4,2,0,0,0,0
ṟ,3,0,2,0,0,0,17,0,0,0,8,0,0,0,0,0,0,0
ṉ,10,0,1,0,0,0,18,10,1,2,11,5,1,4,0,0,0,0
t,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
m,12,0,6,0,0,0,0,0,7,2,33,10,0,12,0,0,0,0
y,4,0,0,0,0,0,0,0,12,2,4,2,9,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,6,0,7,0,0,0,0,0,12,16,21,5,1,18,1,0,0,0
l,6,0,2,0,0,0,1,2,6,5,14,3,0,14,0,11,0,0
ḷ,7,0,0,0,1,1,0,0,2,2,1,1,0,3,0,0,11,0
ḻ,6,0,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
