,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,81,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
ṅ,139,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
c,1,0,30,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
ñ,1,0,45,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ṭ,6,0,6,0,24,0,0,0,0,1,2,0,0,1,0,0,0,0
ṇ,9,0,4,0,35,38,0,0,2,4,6,4,0,8,0,0,0,0
ṟ,14,0,9,0,0,0,37,0,0,1,10,2,0,0,0,0,0,0
ṉ,31,0,16,0,0,0,56,52,9,7,20,28,0,14,0,0,0,0
t,1,0,2,0,0,0,0,0,101,0,1,3,0,2,0,0,0,0
n,0,0,0,0,0,0,0,0,185,3,0,1,0,1,0,0,0,0
p,2,0,0,0,0,0,0,0,2,2,88,2,0,1,0,0,0,0
m,47,0,22,0,0,0,0,0,23,18,129,35,0,42,0,0,0,0
y,4,0,6,0,0,0,0,0,10,11,6,10,8,7,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,31,0,10,2,0,0,0,0,23,32,24,16,0,15,2,0,0,0
l,21,0,14,0,0,0,2,2,4,6,29,8,4,27,0,42,0,0
ḷ,3,0,2,0,1,0,0,0,3,8,6,2,0,8,0,0,23,0
ḻ,11,0,4,0,0,0,0,0,8,10,10,1,0,6,0,0,0,1
