,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,8,0,10,0,45,0,0,0,0,0,6,0,0,0,0,0,0,0
ṇ,17,0,9,3,63,13,0,0,6,2,19,14,0,8,0,0,0,0
ṟ,16,0,5,0,0,0,57,0,0,0,21,0,0,0,0,0,0,0
ṉ,35,0,15,0,0,0,91,64,8,8,41,39,0,22,0,0,0,0
t,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,191,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
m,25,0,21,0,0,0,0,0,16,10,111,25,2,16,0,0,0,0
y,0,0,5,0,0,0,0,0,18,4,2,9,6,17,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,44,0,20,0,0,0,0,0,36,34,46,32,3,38,4,0,0,0
l,64,0,10,0,0,0,1,0,12,13,28,21,4,64,0,16,0,0
ḷ,25,0,3,1,0,0,0,0,6,4,18,4,0,7,0,0,21,0
ḻ,4,0,2,2,0,0,0,0,19,27,6,4,0,9,0,0,0,0
