,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,0,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,14,0,1,0,41,30,0,0,4,1,11,9,0,2,0,0,0,0
ṟ,20,0,4,0,0,0,35,0,0,0,17,0,0,0,0,0,0,0
ṉ,24,0,9,0,0,0,68,25,14,3,36,36,4,20,0,0,0,0
t,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,140,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
m,31,0,4,0,0,0,0,0,19,10,109,35,0,17,0,0,0,0
y,16,0,4,0,0,0,0,0,14,2,6,10,11,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,36,0,19,2,0,0,0,0,36,25,36,29,0,18,1,0,0,0
l,35,0,12,0,0,0,2,0,10,3,32,16,4,31,0,25,0,0
ḷ,13,0,1,0,0,0,0,0,4,2,5,6,0,7,0,0,13,0
ḻ,16,0,4,0,0,0,0,0,4,8,6,8,0,2,0,0,0,0
