,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1560,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
ṅ,1540,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
c,1,0,303,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
ñ,1,0,373,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ṭ,59,0,39,0,495,0,0,0,0,1,62,0,0,1,0,0,0,0
ṇ,122,0,43,7,545,278,1,0,34,27,129,131,7,58,0,0,0,0
ṟ,198,0,74,0,0,0,584,0,0,1,192,2,0,0,0,0,0,0
ṉ,343,0,146,8,0,0,764,695,114,68,337,374,15,225,0,0,0,0
t,1,0,2,0,0,0,0,0,1640,0,1,3,0,3,0,0,0,0
n,0,0,0,0,0,0,0,0,1997,54,0,1,0,1,0,0,0,0
p,2,0,0,0,0,1,0,0,2,2,1360,2,0,1,0,0,0,0
m,369,0,143,3,0,0,0,0,205,113,1357,348,3,284,0,0,0,0
y,110,0,36,1,0,0,0,0,173,84,88,78,93,66,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
r,457,2,148,17,0,0,0,0,338,446,515,266,12,267,42,0,0,0
l,383,0,122,1,0,0,13,11,93,87,280,159,45,432,0,402,0,0
ḷ,111,0,34,1,7,6,0,0,44,35,84,69,0,101,0,0,240,0
ḻ,107,0,50,2,0,0,0,0,96,163,77,48,1,52,0,0,0,7
