,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,6,0,6,0,67,0,0,0,0,0,4,0,0,0,0,0,0,0
ṇ,13,0,4,0,52,18,1,0,4,0,15,5,1,4,0,0,0,0
ṟ,33,0,18,0,0,0,60,0,0,0,25,0,0,0,0,0,0,0
ṉ,33,0,23,0,0,0,67,75,13,2,38,39,2,28,0,0,0,0
t,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,193,16,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0
m,21,0,4,0,0,0,0,0,12,9,173,12,0,21,0,0,0,0
y,19,0,8,1,0,0,0,0,14,14,14,7,5,7,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
r,45,0,5,2,0,0,0,0,32,47,47,27,1,32,2,0,0,0
l,33,0,12,1,0,0,0,0,8,11,28,24,4,43,0,49,0,0
ḷ,8,0,3,0,0,0,0,0,3,1,4,7,0,19,0,0,30,0
ḻ,13,0,8,0,0,0,0,0,12,7,9,6,1,7,0,0,0,1
