,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,4505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,5375,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,1421,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,211,0,49,0,2306,0,0,0,0,0,140,0,0,0,0,0,0,0
ṇ,351,0,0,0,2712,1237,0,0,18,0,219,198,0,23,0,0,0,0
ṟ,458,0,49,0,0,0,2704,0,0,0,219,0,0,0,0,0,0,0
ṉ,225,0,6,0,0,0,4568,2845,33,0,470,280,19,2,0,0,0,0
t,0,0,0,0,0,0,0,0,6387,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,9323,85,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,3321,0,0,0,0,0,0,0
m,6,0,0,0,0,0,0,0,0,0,2411,742,0,4,0,0,0,0
y,198,0,2,0,0,0,0,0,923,240,105,118,400,122,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0
r,761,0,48,1,0,0,0,0,463,1025,854,57,0,189,0,0,0,0
l,599,0,36,0,0,0,0,0,1,1,59,1,6,416,0,2793,0,0
ḷ,71,0,0,0,0,0,0,0,3,0,52,2,1,174,0,0,1273,0
ḻ,139,0,14,0,0,0,0,0,218,425,106,2,0,52,0,0,0,0
