,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,2,0,105,0,0,0,0,0,8,0,0,0,0,0,0,0
ṇ,17,0,0,0,139,68,0,0,0,0,9,17,0,1,0,0,0,0
ṟ,16,0,0,0,0,0,133,0,0,0,15,0,0,0,0,0,0,0
ṉ,8,0,0,0,0,0,175,106,0,0,21,5,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,559,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,138,25,0,0,0,0,0,0
y,6,0,0,0,0,0,0,0,36,7,5,16,8,6,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
r,46,0,0,0,0,0,0,0,23,84,58,6,0,13,0,0,0,0
l,29,0,3,0,0,0,0,0,0,0,6,0,0,24,0,80,0,0
ḷ,9,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,57,0
ḻ,17,0,1,0,0,0,0,0,15,28,8,0,0,2,0,0,0,0
