,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,3,0,123,0,0,0,0,0,5,0,0,0,0,0,0,0
ṇ,17,0,0,0,177,95,0,0,0,0,12,12,0,0,0,0,0,0
ṟ,40,0,0,0,0,0,233,0,0,0,24,0,0,0,0,0,0,0
ṉ,17,0,1,0,0,0,298,119,4,0,31,33,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,545,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,0,0,142,20,0,0,0,0,0,0
y,9,0,0,0,0,0,0,0,37,10,14,14,38,17,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
r,47,0,9,0,0,0,0,0,49,75,89,3,0,23,0,0,0,0
l,19,0,1,0,0,0,0,0,0,0,8,0,0,40,0,148,0,0
ḷ,3,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,59,0
ḻ,3,0,2,0,0,0,0,0,16,12,21,0,0,12,0,0,0,0
