,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,1952,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,529,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,51,0,10,0,723,0,0,0,0,0,37,0,0,0,0,0,0,0
ṇ,86,0,0,0,719,368,0,0,4,0,52,34,0,11,0,0,0,0
ṟ,91,0,23,0,0,0,734,0,0,0,58,0,0,0,0,0,0,0
ṉ,73,0,3,0,0,0,1265,928,23,0,109,78,6,0,0,0,0,0
t,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,3163,30,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,906,243,0,0,0,0,0,0
y,49,0,0,0,0,0,0,0,287,80,32,34,96,25,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0
r,194,0,9,1,0,0,0,0,154,306,218,28,0,60,0,0,0,0
l,220,0,16,0,0,0,0,0,0,0,14,0,3,97,0,832,0,0
ḷ,22,0,0,0,0,0,0,0,0,0,22,1,0,35,0,0,401,0
ḻ,38,0,2,0,0,0,0,0,60,140,21,0,0,9,0,0,0,0
